sent,Given_label,Predicted_label
again can u give me reminder by 9 30 have to take another mediine,give me and take another mediine,take another mediine
Can you remind me 45 minutes earlier,Not Found,Not Found
Set 3 alarms,Not Found,Not Found
Remind me at 12.45 pm to book a cab,book a cab,a cab
Feb 8,Not Found,Not Found
Give a general reminder today at 10:22 pm,Give a general reminder,Give a general
Remind me to register for exams today 10:30 am,register for exams,register for exams
"It's 12:34 Am already, would you like me to schedule it for a later time? Leave this one",? Leave,schedule it for a later time
Can u please remind me after monday,Not Found,me after
Remind me to studu after few minutes,studu,studu after few minutes
Please schedule a reminder for 1Pm to check the dates of mid sems on 8050718274,check the dates of mid sems,check the dates
Reminder to passport apply,passport apply,Not Found
Remind me lenovo hard dis today 9pm,lenovo hard dis,me lenovo hard dis
Can u set a reminder To remind to take the flute on every Thursday and Friday.....,take the flute,take the flute
Hi can you,Not Found,Not Found
Any alarm is activated,Any alarm,Any alarm
Me on 6.15,Not Found,Not Found
Heyy.... its only remind in haptik,Not Found,its only
Can you just set notifications tone as a reminder,Not Found,tone as a
Set 3 consecutive alarms with 15 minutes gap on 9255130388,Not Found,consecutive alarms
Remind tomorow to get spirit to clinic at 8 am,get spirit to clinic,get spirit
Deactivate remainder,Not Found,Deactivate remainder
Plzz set 3-4 wakeup reminders,wakeup reminders,set 3-4 wakeup reminders
Remind me to buy make wipes on Tuesday.,buy make wipes,make wipes
I want reminder for going toilet,going toilet,going toilet
"Wish Birthday Name: Bandaru suresh Date: December 23, 2016 Time: 12 00 pm",Not Found,Wish Birthday Name
How do i schedule this for daily,Not Found,i schedule
Can you please remind me for washing my clothes,washing my clothes,washing my clothes
Remind me till 10:00pm,Not Found,Not Found
Remind me to talk to strangers,talk to strangers,Not Found
Pls arrange a reminder fr cash withdrawal on friday nyt at 11,cash withdrawal on friday nyt,arrange a fr cash withdrawal
How will you remind me? By a msg?,How and ? By a msg,By a msg
Could you please give me a separate reminder about this deadline once a week on every Wednesday?,Not Found,give me a separate
New remainder for tomorrow morning 8:30,Not Found,New remainder
Set me a reminder,Not Found,me a
Remind me @ 10 pm today that i have to study physics...,study physics...,that i
Hey I want to shut all the remainders,shut all the remainders,the remainders
Please remind me at 2 pm today...I ve an important meeting,meeting,ve an important meeting
Remind me on rane,Not Found,me on rane
I have another app called life's reminders;,another app called life's reminders;,have another app
So o call from ya end so testing is failed of this app,call from ya end so testing and failed of this app,failed of this app
Will this reminder be for every year on the same day or only this year for birthdays?,be for every year on the same day or only this year for birthdays,be for every year
Remind me 2 take appointment of dr at 7.40pm today,take appointment of dr,take appointment
Hi please remind me on 3:47 pm today,Not Found,Hi please
Gx.sx,Not Found,Not Found
Remind me after an hr today,Not Found,me after an hr
Pls send todo list so that I can set more reminders,Not Found,send todo list
Set another remind plz,Set another remind,another plz
Forget this for a while,this for a while,for a while
Please remind me in office hours only,Not Found,me in office hours
Remember ...everyday,Not Found,Not Found
Remind me in January 11evening 5.30pm to take my charger,take my charger,me in January
I want to check ur calling system.,check ur calling system,calling system
Remind me to meet income tax customer today at 4:15pm,meet income tax customer,meet income tax customer
I want help in calling my home landline number without my intervention every day 6:30 am,calling my home landline number without my intervention,calling my home landline number
Reminder for tomorrow @11.30 am to give 2 wheeler for servicing,give 2 wheeler for servicing,Not Found
Can you schedule a study plan for me?,study plan for me,schedule a study plan
Sorry set the reminder for 11:30 tomm insted of 12,Not Found,set the
Remind me to do chapter 2 at 7:30 pm on 8th novmber 2016,do chapter,do chapter
Ok I want you to remind me on this day every month for next few years,Not Found,me on this day
Can you please remind me to have my breakfast after 30muns,have my breakfast,have my breakfast
Remind me.about laundry on Monday at 4 pm,me.about laundry,me.about laundry
Remind to take earrings fr hubli,take earrings fr hubli,take earrings
Change reminder interval,Not Found,Change interval
I want to know more about this app....can you please send me the link,know more about this app and send me the link,send me the link
Can u please make a call at 8 am as well?,make a call,make a call
Call on 91 866 005 8991,Call,Not Found
Please put a reminder tom 6pm to send food to Kartik,send food to Kartik,put a tom
I,Not Found,Not Found
Remind me to do online reporting,do online reporting,Not Found
Please remind me tomorrow at 10 a.m. to send the findings image to mahima,send the findings image to mahima,send the findings image
Remind me to do reporting of dcr today 5 pm 7 pm and 9 pm,do reporting of dcr,do reporting
Can i get reminders for studying,studying,get reminders
Just set up a reminder,Not Found,Not Found
Reminder for October VAT PAYMENT on 1 Oct 2017 11am,October VAT PAYMENT,for October VAT PAYMENT
"Reminder only works, when I opened this app... Kindly resolve this issue",works and when I opened this app... Kindly resolve,opened this app
Please put a reminder on 30 April 2017 for PUC change,PUC change,for PUC change
Today 10.30 PM reminder me to apply oil and alovera,apply oil and alovera,apply oil
Send me a reminder to workout at 6 pm,workout,Send me a
Thanx for reminding me,reminding me,Not Found
"On Monday remind me to talk with principal sir about logo making , copyright, Question paper n other work.","talk with principal sir about logo making , copyright, Question paper n other work",talk with principal sir
Remind me from 10.30 am,Not Found,Not Found
Can you give me a reminder,Not Found,give me a
Remind me to buy Puffed rice,buy Puffed rice,buy Puffed rice
Remind me to download the movie.. Today at 9pm,download the movie,download the movie..
U could have said i have daily 12 noon and 10pm reminders..,reminders,said i
Can I know more about this app,more about this app,about this app
My first reminder at,Not Found,My first
Remind me to ask leave,ask leave,Not Found
Remainder I plan to go my native place on 13.01.2017,go my native place,go my native place
Can u plz tell me wht reminder I set fo,Not Found,tell me wht
"Remind me to pick up mudith Lodhha, today at 1:30",pick up mudith Lodhha,mudith Lodhha
Doctor reminder,Not Found,Not Found
Reminder to speak to angad,speak to angad,Not Found
Hey I want to change my reminder of 5:45 AM to 7:00 AM,Not Found,change my
Name: Cutipie Mukherjee Date: 14-12-2016 Time: 23.59,Not Found,Cutipie Mukherjee Date
Make a reminder today at 6:00 am and 6:30 am please,Make a reminder,Make a
Remind me to take Prasad today at 21.00 hrs,take Prasad,take Prasad
Can u remind me about angularJS demo tonight at 8.30,angularJS demo,me about angularJS demo tonight
Plz remind me to leave at 3.30am,leave,Not Found
Okay thank you. Can you again schedule a second balaram of 6:30am same day,Not Found,schedule a second balaram
If thr any other remainder for night,any other remainder for night,thr any other remainder
Remind me to pack my file tomo,pack my file,pack my file tomo
Remind me to put spect into bag today at 10pm,put spect into bag today at 10pm,spect into bag
Remind me to copy the documents and post it before 12.30 pm,copy the documents and post it,copy the documents
Call latesh sir... Requirements of mba today,Call latesh sir... Requirements of mba,Call latesh sir
Can you set up a remainder for me?,Not Found,a remainder
One reminder,Not Found,Not Found
One remainder,Not Found,Not Found
I asked you to remove reminders,Not Found,remove reminders
Noo call,Not Found,Noo call
Can u set an alarm for me at 6:30,Not Found,set an alarm
Set reminder for 5 Jan 9am Dr Sharmila,5 Jan 9am Dr Sharmila,Dr Sharmila
Remind me to pay ram singh,pay ram singh,pay ram singh
Remind me about the Snapseed installation after 1 hour,the Snapseed installation,me about the Snapseed installation
Set another to do reminder,another to do reminder,Not Found
Please keep calling me until i pick up,keep calling me until i pick up,calling me until i
Remind me to cal Anu at 1:55 pm Tmrw,cal Anu,cal Anu
Actually I hadn't got a call,n't got a call,got a call
Set is for 6.30 am Saturday,Not Found,Not Found
Remind me to take ayaans jacket n thermal at 5 a.m. today,take ayaans jacket n thermal,jacket n thermal
"Plz remind on 9th jan... The note should contain the following text, ""test to be conducted in DePaul at 4 pm on monday"".",test to be conducted in DePaul at 4 pm on monday,contain the following text
Remind Sunaina to carry A3 textured sheets.,carry A3 textured sheets,carry A3
Set my alarm now,Not Found,my alarm
I want to set reminder for my babies vaccination,my babies vaccination,my babies vaccination
Hey please set alarm for 10:30,Not Found,Hey please
Reminder be at 10:00 pm,Not Found,Not Found
Think about it and prove by the time of the reminder,Think about it and prove,prove by the time
Remind me to ask dad to get the rent,ask dad to get the rent,get the rent
Reminder - purchase i20 cover. 1.30 pm,purchase i20 cover,purchase i20 cover
??,Not Found,Not Found
Remind me for Meeting at 11-12pm tomorrow at Shantiniketan building with Mr. Pradeep Sadhani regarding NAGV.,Meeting and building with Mr. Pradeep Sadhani regarding NAGV,with Mr. Pradeep Sadhani
Well I think I had a reminder for everyday morning,Not Found,for everyday morning
Change the reminder time from 30 min to one hour,Not Found,Change the time
How to set an alarm for a reminder?,Not Found,set an alarm
Remind me after 1 hour,Not Found,Not Found
Hi! Remind me to go to the clothes shop at 2.30 p.m. today,go to the clothes shop,the clothes
If possible can u set that on repeat mode,on repeat mode,on repeat mode
Yes please,Not Found,Not Found
Please set exam alert at 1.00 pm,exam alert,set exam alert
Remind me carry the marksheet,carry the marksheet,carry the marksheet
Please remind me to buy clothes for me tomorrow,buy clothes for me,buy clothes
Remind me to cl vivke Salunkya,cl vivke Salunkya,cl vivke Salunkya
Hi send the reminder form,Not Found,send the form
Can you set a time table for me?,Not Found,set a time table
Ineed a reminder,Not Found,Ineed a
Remind me @ 6 30 pm 2day,Not Found,Not Found
Today at 2 o'clock p.m. remind me alarm me,Not Found,Not Found
Remind me 3:30pm 24/dec/2016 to fuck Bhawana,fuck Bhawana,fuck Bhawana
Remind me to go bhumi for cii certificate on Saturday at 6pm,go bhumi for cii certificate,for cii certificate
Remind me to send a mail to haptik at 2pm.,send a mail to haptik,send a mail
Remind me to take lunch at 1pm ok,take lunch,take lunch
Thanx reminding me,Not Found,Not Found
"Shreyansh Bhai set a reminder title as""Bode plot"" at 8 pm today",Bode plot,set a title
Remind me to get dress for Sudharshan today evening at 4,get dress for Sudharshan,get dress
Yea I drank it thank you for the reminder,Not Found,thank you for the
Remind me of Tanu T2 check up at W Pratiksha Hospital on 2nd Jan,Tanu T2 check up at W Pratiksha Hospital,me of Tanu T2
Wait,Not Found,Not Found
remind me again after 30 min,Not Found,Not Found
Thanks u for reminded me,Not Found,Not Found
Remind me to web check in,web check in,web check
Remind me to book an appointment through club Mahindra,book an appointment,through club Mahindra
How can you remind me?,Not Found,Not Found
Remind me Evey day of 2017 at 7:00 pm,Not Found,me Evey day
I dnt want this reminder anymore,Not Found,want this
Please arrange some kind of buzzing thing in system to remind me,kind of buzzing thing,arrange some kind
Remind me to bring my stuff,bring my stuff,bring my stuff
reminder,Not Found,Not Found
Remind me after 2 also,Not Found,Not Found
Thxx to remind me and happy christmas,Not Found,happy christmas
What is going on why arent you calling me,What is going and calling me,Not Found
Can you make reminder for tomorrow for new terminal request.. Corporate account and mapping?,new terminal request.. Corporate account and mapping,for new terminal request.. Corporate account
When did u scheduled Lubrex?,Not Found,scheduled Lubrex
Can you set a reminder for me to visit HDFC Bank on 9th Dec at 9:30 am,visit HDFC Bank on 9th Dec,visit HDFC Bank
"Also I need a reminder for my flight travel on December 21, 6am which means I at least have to check in on or before 5am",my flight travel and 6am which means I and check in on or,my flight travel
Good morning shubham,Not Found,Good morning shubham
I need the reminder for every 3 hours,Not Found,need the
"Thank you, Shreyansh. Have been following the reminder. Sure. :)",Not Found,following the
I want a reminder for recahrge at 12.00 am sharp.. Today,recahrge,want a
Set up my alarm for 7:20 am and 7:40 am on 8 jan.,Not Found,my alarm
All my friends in facebook,my friends in facebook,my friends
Alarm every 30 minutes,Alarm,Not Found
Pl remind me at 10:55 ticket booking,ticket booking,ticket booking
Please remind me to go to doc at 9.30am tomorrow,go to doc,Not Found
Another reminder I want shruti,Not Found,want shruti
Close this reminder,Not Found,Close this
Do I need to stay connected to wifi or mobile data to receive the reminders on app,stay connected to wifi or mobile data to receive the reminders on app,receive the reminders
"Meeting Reminder Date: November 14, 2016 Time: 10 05 am Meeting with: Sp sp so",Meeting with: Sp sp so,Meeting Date
Hi please remind me that jungle book will be playing on star movies on 27th November.,jungle book will be playing on star movies,me that jungle book
Remind me at 4pm tomorrow,Not Found,Not Found
Hi remind me aft 5mins now,Not Found,Not Found
Alarm for me plz,Not Found,Not Found
Remind me to change plan of 9711503502,change plan of 9711503502,change plan
Remind me to put Stylam post at 8pm. Today,put Stylam post,put Stylam post
Plz set d reminder to write an email to bajaj finserve today,write an email to bajaj finserve,write an email
Pl remind me to color my hair at 8:45 am tomorrow,color my hair,color my hair
Please change the frequency of reminders at every 45 mins,change the frequency of reminders,change the frequency
"I make a habit thank you , wouldn't have to remind me again",remind me again,make a habit thank
Remind me to give 200 rs to mama,give 200 rs to mama,Not Found
Can you remind me to go to savya rasa tomorrow at 8 pm,go to savya rasa,savya rasa
Vrat Saturday 12 Nov 7 am Pl remind,Not Found,Not Found
"Hmm. Sorry, I want the reminder on the previous night. On 25th at 9PM.",on the previous night,on the previous night
Remind me to write a post on lan turtle today at 9:00pm,write a post on lan turtle,write a post
Remind me to press my mother's leg while she sleeps around 11pm,press my mother's leg while she sleeps,press my mother
On 3 Jan remind me about swipe machine,swipe machine,me about swipe machine
Remind me to book train tickt,book train tickt,book train tickt
Yea,Not Found,Not Found
"Instead of saying -""hi here's your reminder""",hi here's your reminder,'s your
Could you reminder me for book my flight tickets at 4pm,book my flight tickets,me for book
Can you set an alarm at 6 pm,Not Found,set an alarm
Can you remind me that I have to send my PPF form and details today. Secondly that I need to book my transit flight to Malaysia,send my PPF form and details and book my transit flight to Malaysia,send my PPF form
Tomorrow 11 am call basf admixture,call basf admixture,call basf admixture
Voice reminder??,Not Found,Not Found
Remind me a doing call at 10 am today,doing call,doing call
Will u remind me any movie releases or trailers or songs...,any movie releases or trailers or songs...,me any movie
Remind me at 10 am today,Not Found,Not Found
Hello reminder of CE at 6:35 today,CE,of CE
So you'll be calling?,calling,Not Found
Remind me about belt at 9 30 AM.. Tmrw,belt,me about belt
Remind me to buy some imp stuff,buy some imp stuff,buy some imp stuff
Ok so now thats at 6pm,Not Found,Not Found
Remind me tho buy watch on January 2nd,buy watch,buy watch
Remind me at 2130 all weekdays,Not Found,all weekdays
Plz cancle the schedule bro,Not Found,cancle the schedule bro
Thanks for morning call,Not Found,for morning call
How come 2 pm reminder came twice,Not Found,Not Found
Put the reminder at 8.50pm today,Not Found,Put the
I need to set an reminder,Not Found,set an
Should I keep my data on to receive your calls??,Should I keep my data and receive your calls??,keep my data
22 Feb my marriage anniversary call me at morning 8am on 22 Feb for this,marriage anniversary call me at morning 8am on 22 Feb for this,call me at morning
I want a call,Not Found,want a call
Hmmm ok,Not Found,Hmmm ok
Remind that tomorrow I need to go for haricut,go for haricut,go for haricut
"Hi Manal, Please brief me about the concept of the to do list",Not Found,brief me about the concept
Pls remind me to attend marriage at Bhavnagar on 21 January at 5 pm,attend marriage at Bhavnagar,attend marriage
Sorry post bone the resent reminder to 8.30,Not Found,Sorry post bone
Thank u...Can u plz remind me the same on 21st jan?,Not Found,Thank u
"Remainder for 3rd February 2017 at 10am, Shubhendra's Sister marriege on 5th feb",Shubhendra's Sister marriege,Sister marriege
By calling na,calling na,calling na
Please remind me for the following 1. 3 months salary slips 2. Ctc breakup letter 3. 2 references,the following 1. 3 months salary slips 2. Ctc breakup letter 3. 2 references,Ctc breakup letter
Reminder about hall ticket at 8am tommorow,hall ticket,about hall ticket
I need a reminder for my doctors appointment on the 5th of December at 2pm reminder for 3:30 appointment,my doctors appointment and appointment,need a
Call and notification in the app right?,Call and notification in the app right,in the app
Ohh!! Man.. I missed it. Can you please remind me tommorow,Not Found,Not Found
Remind me 5 min from now,Not Found,Not Found
Remind me daily to study seriously n regularly,study seriously n regularly,Not Found
Hey remind me to go to Kayani bakery at 5pm,go to Kayani bakery,Kayani bakery
Let the reminder mention '50 posters delivery to office',Not Found,Let the mention
Could u remind me on the 11th,Not Found,Could u
tomorrow,Not Found,Not Found
Can u set an reminder for me !,Not Found,set an
How can I change reminder,Not Found,Not Found
Remind me to ask Brian about ski tracks at 8 today,ask Brian about ski tracks,about ski tracks
Remind me at 12noon spice jet,Not Found,spice jet
Plz deactivate all my alarms,deactivate all my alarms,Plz deactivate
Plz send my previosus schedule,Not Found,send my previosus schedule
What is the situation of selling ice to Eskimo called?,What is the situation of selling ice to Eskimo called,is the situation
Remind me that it's Mansi's birthday on 11tg january,it's Mansi's birthday,'s Mansi
Do u need reminder description,description,Do u
Make me remind of 18 upcoming saterdays,Not Found,upcoming saterdays
I actually wanted you to remind me from 2pm to 10 pm,Not Found,Not Found
Hey schedule it afer an hour,Not Found,an hour
Can u set it in evening,Not Found,Not Found
Remind me to take my charger today at 11 in the morning,take my charger,take my charger
What is the reminder send me the details of reminder,What and send me the details of reminder,send me the details
I want to set reminder,Not Found,Not Found
from tomorrow can u delete this alarm please?,Not Found,delete this alarm please
Remind to set an RD in Hdfc on 10th Dec at 2.30 pm,set an RD,set an RD
Yeah! Sure.,Not Found,Not Found
Remind me 3 times,Not Found,Not Found
I want a reminder at 9 am,Not Found,want a
I wanted the reminder on 8050718274,Not Found,wanted the
I want to make another reminder for today,make another reminder,make another
Airtel plan change reminder on 26 nov 2016 at 9 am,Airtel plan change reminder on 26 nov 2016,Airtel plan change
How I can check what are the set reminder s?,Not Found,are the set s
Gud mrg. Thanks You will remind me for my company work (product sample acknowledge) on date 1 feb 2017. Thanks,my company work (product sample acknowledge),my company work
Remind me for a Asmi ka school slip,a Asmi ka school slip,me for a Asmi ka school slip
Remind me again at 5.57pm today about Mi game..,Mi game,about Mi game..
U called me at 5.45 only,Not Found,Not Found
Alarm in 4 hours today!,Alarm,Not Found
Set an alarm for 6:30,Not Found,an alarm
Swarnakanta call 1 pm today,Swarnakanta call,Swarnakanta call
Call me @2.30,Not Found,Not Found
thank 4 the reminder...please do continue to remind me,do continue to remind me,Not Found
Remind me of an appointment @ 5pm,appointment,me of an appointment @
You have to remind me to bathe at this time,remind me to bathe,bathe at this time
Remind me to.buy swimming cap tomorrow at 12 noon,to.buy swimming cap,swimming cap
"Dec 3 , 12.30 , invitation ceremony... should be reminded",invitation ceremony... should be reminded,invitation ceremony
Also remind me to collect my ticket on 29 dec at 4 pm,collect my ticket,collect my ticket
Want to change my alarm time,change my alarm,change my alarm time
Reminder for what ?,Not Found,Not Found
Will you remind us offline,Not Found,Not Found
Hey can you remind me to book an appointment with dr pradeep chowbey,book an appointment with dr pradeep chowbey,with dr pradeep chowbey
Hey I wanna set a reminder,Not Found,set a
Hey thanks for reminding,Not Found,Hey thanks
Can I see my reminder list,Not Found,see my list
How can u remind me,Not Found,Not Found
call me at 11,call me,Not Found
Hi thanks for all the reminder,Not Found,Hi thanks
Remind me to send RMS at 3.30,send RMS,send RMS
Thank dear for remainder me,Not Found,Thank dear
Remind me to download games for Eknath at 10 PM tonight.,download games for Eknath,download games
Kya ye notification bina app me jae hme remainder ni de skta?,Kya ye notification bina app and ni de skta,jae hme remainder ni
Please make me remind to pay cable charge on 8th of jan 2017 i.e. on Sunday at 10 am.,pay cable charge,pay cable charge
Hi please remind me,Not Found,Hi please
how will u remind?,Not Found,Not Found
I wanted you to also tell me the reason for the reminder.,Not Found,tell me the reason
Remind me to recharge mom cell,recharge mom cell,recharge mom cell
Remind me to visit at school by tomorrow morning 10:00am,visit at school,visit at school
reminder will be needing on Saturday around 8,will be needing,needing on
"Meeting Reminder Date: November 21, 2016 Time: 9 00 AM Meeting with: Ktech",Meeting with: Ktech,Meeting Date
Remind me at 5pm about the milk instead of 2:30 pm please,about the milk,about the milk
I need one call on Saturday 4 pm for making bday card for my mom,I need one call and making bday card for my mom,making bday card
"Please remind of hoodie, to be taken at 3 pm today.",be taken,of hoodie
Remind me to file income tax return of varindha sando,file income tax return of varindha sando,file income tax return
Remind me on 4th oct thay have to sit with bikash chacha for color rate discussion,sit with bikash chacha for color rate discussion,sit with bikash chacha
When i open i get reminder,Not Found,open i
Another reminder after dat,Another,after dat
Aap 10:15 me remind kraengi to fr uske every 2hrs me bhi remind kraengi?,Not Found,Not Found
I want to change the timing of alarm,change the timing of alarm,change the timing
Please remind me after 1 hr.,Not Found,Not Found
"Can you remind me when it is 11:30 am in Toronto, Canada?",Canada,in Toronto
Plz remove this remainder now,Not Found,remove this remainder
Reminde me to go home from tusion class on 7:00 pm,go home from tusion class,from tusion class
Remember after 50 minutes from now,Not Found,Not Found
Remind me to change my dress,change my dress,change my dress
Oops can u remind me at 1.00 pm,Not Found,Not Found
Remind me about sending a ticket number to Manju,sending a ticket number to Manju,sending a ticket number
Gen reminder only,Not Found,Not Found
Remind me HMBGu on 20 December 2016,Not Found,me HMBGu
I thought it will remind me even I am offline,Not Found,Not Found
Deactivate the reminder,Not Found,Deactivate the
Remind me to open crownit at 3 : 00 pm today,open crownit,open crownit
4:45 PM reminder,Not Found,Not Found
Can u remind smthng?,Not Found,Not Found
Can you remind me via message also?,Not Found,me via message
reminder only comes when i open the app...,comes when i open the app...,open the app
Set reminder: dentist on Wednesday at 4pm,dentist on Wednesday,Not Found
Please give me a wakeup call tomorrow morning,give me a wakeup call,give me a wakeup call morning
Please add insurance reminders,insurance reminders,add insurance reminders
Call me for this,Not Found,Not Found
Hey can u set a reminder?,Not Found,set a
Can u remind me at the same time for massege to boss,same time for massege to boss,me at the same time
Remind every day,Not Found,every day
Remind me daily at 1 pm,Not Found,Not Found
Set me the alarm the same time tomorrow,Not Found,me the alarm
Wish u a many many happy returns of the day happy birthday to u dear God bless u and fulfil your wishes Happy birthday,Wish u a many many happy returns and u dear God bless u and fulfil your wishes Happy birthday,u a many many happy returns
Monday morning 9am remind court,Not Found,Not Found
To remind of non fiction collection from protik da on friday morning,non fiction collection from protik da,of non fiction collection
Remind me for form 108 taking tomorrow 8 am,form 108 taking,me for form
Hi sayali I want to add a reminder,add a reminder,add a
Plz delet my 10:58 alarm,Not Found,Plz delet
Set a reminder for Nestaway bill,Not Found,for Nestaway bill
Plz set a reminder 'ask om for bugee jumping pics' on 23rd nov at 2pm,ask om for bugee jumping pics',set a
I have meeting coming up van u remind me,meeting coming up van u remind me,van u
I have a question...how can u send the reminder?,Not Found,have a question
Please set a reminder from 10 to 10:30 AM with the time interval of 10 minutes,Not Found,with the time interval
I need one more alarm,Not Found,more alarm
Remind me to refill wallet @ 8pm pm today,refill wallet,wallet @
Haa yesteday you given me that information about internet use in agriculture i have gained out of marks for the information you have given,information about internet use and gained out of marks for the information you have given,given me that information
set a 2nd reminder 10 mins after,Not Found,Not Found
And my alarm set till weekend,Not Found,my alarm set till weekend
Tomorrow need reminder at 12pm with sourav da need to give him some parcel,give him some parcel,give him some parcel
00:05,Not Found,Not Found
Good morning anupriya,Not Found,Good morning anupriya
Thank you for the reminders Gaurav.I needed the reminders for yesterday only.,Not Found,you for the reminders Gaurav.I
Remember me one another birthday,one another birthday,another birthday
Solluga akka,Not Found,Solluga akka
Remind me this task with just a message,Not Found,me this task
Yes plz remind me everyday,Not Found,Not Found
Remind me to buy Gehu today at 2.30pm,buy Gehu,buy Gehu
Remind me for doctors appointment please,doctors appointment,me for doctors
K,Not Found,Not Found
I have a meeting in Monday morning for Eicher at 10am need reminder on Sunday and Monday morning at 7am,meeting,have a meeting
Can you remind me task which written on my small diary,which written on my small diary,Not Found
Ya I want reminder on coming Mondays at 8 am,Not Found,on coming Mondays
Remind me about Chelsea matches.,Chelsea matches,me about Chelsea matches
Remind me every Monday at 6pm to go for play,go for play,go for play
Can u remind me after 15min tht i need to msg dr. Bhoot,msg dr. Bhoot,msg dr. Bhoot
Set a reminder for today,Not Found,Set a
Bt if possible u can remind me with a text! It would be better!,Not Found,me with a text
Just want know how u will reminder me,Not Found,Not Found
Remind me to apply hair mehendi at 4 pm today,apply hair mehendi,apply hair mehendi
Remind me when I am near Hyderabad,Not Found,near Hyderabad
Call me at 6.28,Not Found,Not Found
Remind me to book,book,Not Found
"Hey , please remind me to search about my seminar",search about my seminar,my seminar
Remind me tomorrow morning 9 that I have to go out and buy shoe soul for myself,go out and buy shoe soul for myself,buy shoe soul
Please remind me,Not Found,Not Found
Remind me to buy rutika ben things,buy rutika ben things,ben things
Remind me to wish Varna Happy Birthday on 11th January 2017.,wish Varna Happy Birthday,wish Varna Happy Birthday
Can u plz remind me to take my clothes from washerman at 7:30pm today,take my clothes from washerman,take my clothes
One more reminder Deepika,Deepika,more Deepika
Remind me her Bday every year plz,her Bday,every year plz
Remind me to go to mosque every Saturday and Sunday at 6pm and 7pm,go to mosque,mosque every
One more bday reminder,Not Found,more bday
remind me on 7th of december,Not Found,of december
Is their app about space knowledge,their app about space knowledge,Is their app
You remind me later around 5 in the evening,Not Found,in the evening
Pls remind me to go south ext at 1.26 pm today,go south ext,go south ext
Do I need to be online to get a reminders?,be online to get a reminders,get a reminders
Thanks for ittttt,Not Found,for ittttt
What reminder manal?,Not Found,Not Found
Kindly send oly messages as reminder,Not Found,Kindly send oly messages
Remind me at before 7am for PM's announcement,PM's announcement,Not Found
Thanks bro fr a reminder,Not Found,fr a
Remind me to deposit cheque tomorrow at 9 30 am,deposit cheque,deposit cheque
Also could u remind me to wash the car at 6.30 am,wash the car,wash the car
For reminde,Not Found,For reminde
Set a reminder for 2 Jan 2017 at 12:30 pm to get 2600 to art class,get 2600 to art class,Set a
Can you make the call at 2.40 pm? I meant half n hour in advance from my appointment which is at 3.30 pm.,appointment which,make the call
My remainder is cancelled,Not Found,My remainder
Frequency of Reminders: 1hour,Not Found,of Reminders
I want u to set a reminder at 8:00 pm,Not Found,set a
How will u send me the reminder,Not Found,send me the
pls set reminder for tommorow afternoon 8am for cds,cds,for tommorow afternoon
Remind every day to sleep at 11pm,sleep,every day
How're you,Not Found,Not Found
Yes please remind me for everyday,Not Found,me for everyday
Thanx bro for reminder,Not Found,Thanx bro
Remind me tomorrow at 7:30 PM to visit Niram house,visit Niram house,visit Niram house
Remind me twice,Not Found,Not Found
Can you please set a reminder for Saturday,Not Found,set a
Remind me buy paper,buy paper,buy paper
Monday reminder to cal shreyes at 11 am,cal shreyes,cal shreyes
Can you remind me from 10:00 am to 10:00 pm ?,Not Found,Not Found
Set reminder on 30/12/2016 to collect cheque from rajhans F tower at 9:30 am,collect cheque from rajhans F tower,from rajhans F tower
Remind to collect Blood Test Report at 2.00 P.M today,collect Blood Test Report,collect Blood Test Report
Reminder on friday 11 pm calling shreyes,calling shreyes,calling shreyes
Remind the same task by 4:45 pm,Remind the same task,the same task
"Remind me of , USB port setup and papa account number addition.",USB port setup and papa account number addition,papa account number addition
Remind me at 4 pm todae lady,Not Found,todae lady
Tks fir the reminder pl.,Not Found,fir the pl
Cam u remind me before 10 am.??,Not Found,Not Found
13Dec 7am set reminder for white day,white day,for white day
Thanks really early you remind me,Not Found,Not Found
Remind me meeting with Majid & Aircel express at 6pm,meeting with Majid & Aircel express,meeting with Majid
I forgot it now only I received all your reminder s,Not Found,your s
Tell me today's schedule,Not Found,Tell me
Thanks maitreya,Not Found,Not Found
What time she call me ?,she call me,Not Found
U couldn't remember me,Not Found,Not Found
At 8pm today remind to post pic,post pic,post pic
Will you call in every 2hours ?,call,Not Found
Set reminder at 6:09 pm today,Not Found,Not Found
Remind me to take marksheet photo,take marksheet photo,take marksheet photo
Remind me to change Yugansh's diaper at 6 am today,change Yugansh's diaper,change Yugansh
Plz remind at 10am tmrw tht i have to consult a case wth periodontist,consult a case wth periodontist,consult a case wth periodontist
Ok thnku for calling me.,calling me,Ok thnku
Thanks for Reminder,Not Found,Not Found
I said pls set to 10 am to 6 pm,Not Found,said pls
Thanq for u r reminder,Not Found,for u r
What about the topic that I want u to remind me,Not Found,about the topic
Hiii.. rectification in Dec.22nd reminder.. kindly note,Hiii.. rectification,Hiii.. rectification
Remind me frm 2pm to 12am,Not Found,Not Found
Set a reminder at 8 pm for proposing a girl,proposing a girl,proposing a girl
"Remind for b'day cake, dress shoes in 2nd Jan 2017","b'day cake, dress shoes",for b'day cake
Remind me to remove the lanterns at 6,remove the lanterns,remove the lanterns
Set reminder on 9.45 am today,Not Found,Not Found
Thank yoi. Can i get a reminder at 2.30pm,Not Found,Thank yoi
Reminder to msg,msg,Not Found
Test reminder now,Not Found,Not Found
Please set reminder to ask cash details from Gajanan,ask cash details from Gajanan,ask cash details
